station_name,agency,street,borough,postcode,latitude,longitude,no_of_ports,charger_types,public_charger_,fee_for_city_drivers,geometry
"DPR - 860 E 138th St, Bronx",DPR,860 E 138th St,Bronx,10454,40.803059,-73.908904,16,['Level 2 Charger'],No,No,POINT (-73.908904 40.803059)
"DPR - 20 Randalls Island Park, Manhattan",DPR,20 Randalls Island Park,Manhattan,10035,40.796655,-73.923829,2,['Level 2 Charger'],No,No,POINT (-73.923829 40.796655)
"DPR - 80-11 Myrtle Avenue, Queens",DPR,80-11 Myrtle Avenue,Queens,11385,40.702998,-73.868023,4,['Level 2 Charger'],No,No,POINT (-73.868023 40.702998)
"DPR - 1121 86th St, Brooklyn",DPR,1121 86th St,Brooklyn,11228,40.61634,-74.017675,1,['EV Solar Arc Charger'],No,No,POINT (-74.017675 40.61634)
"DPR - 7801 57th Avenue, Queens",DPR,7801 57th Avenue,Queens,11373,40.728781,-73.885114,2,['Level 2 Charger'],No,No,POINT (-73.885114 40.728781)
"DPR - 82-92 88th Pl, Queens",DPR,82-92 88th Pl,Queens,11385,40.701545,-73.858223,2,['Level 2 Charger'],No,No,POINT (-73.858223 40.701545)
"DPR - 1010 Queens Plaza South, Queens",DPR,1010 Queens Plaza South,Queens,11101,40.753521,-73.947412,2,['Level 2 Charger'],No,No,POINT (-73.947412 40.753521)
"DPR - 40 W 143rd St, Manhattan",DPR,40 W 143rd St,Manhattan,10037,40.818365,-73.935359,1,['EV Solar Arc Charger'],No,No,POINT (-73.935359 40.818365)
"DPR - 25-50 84th St, Queens",DPR,25-50 84th St,Queens,11370,40.762959,-73.884827,2,['Level 2 Charger'],No,No,POINT (-73.884827 40.762959)
"DPR - 181 East End Ave, Manhattan",DPR,181 East End Ave,Manhattan,10028,40.776309,-73.943758,2,['Level 2 Charger'],No,No,POINT (-73.943758 40.776309)
"DPR - 2301 Amsterdam Avenue, Manhattan",DPR,2301 Amsterdam Avenue,Manhattan,10033,40.843434,-73.934301,2,['Level 2 Charger'],No,No,POINT (-73.934301 40.843434)
"DPR - 10 Central Rd, Manhattan",DPR,10 Central Rd,Manhattan,10035,40.792269,-73.923827,3,['Level 3 Fast Charger'],NYC DC Fast Public Charging,No,POINT (-73.923827 40.792269)
"DPR - 62- 45 71st Street, Queens",DPR,62- 45 71st Street,Queens,11379,40.718332,-73.884865,4,['Level 2 Charger'],No,No,POINT (-73.884865 40.718332)
"DPR - 2529 Neptune Ave, Brooklyn",DPR,2529 Neptune Ave,Brooklyn,11224,40.578084,-73.992966,2,['Level 2 Charger'],No,No,POINT (-73.992966 40.578084)
"DPR - 160-2 Oak Avenue, Queens",DPR,160-2 Oak Avenue,Queens,11365,40.7501,-73.807119,2,['Level 2 Charger'],No,No,POINT (-73.807119 40.7501)
"DPR - 3 W 124th St, Manhattan",DPR,3 W 124th St,Manhattan,10027,40.805856,-73.943,2,['Level 2 Charger'],No,No,POINT (-73.943 40.805856)
"DPR - 3 Iroquois St., Staten Island",DPR,3 Iroquois St.,Staten Island,10305,40.574514,-74.085629,2,"['EV Solar Arc Charger', 'Level 2 Charger']",No,No,POINT (-74.085629 40.574514)
"DPR - 5968 Maj Wm Deegan Blvd, Bronx",DPR,5968 Maj Wm Deegan Blvd,Bronx,10451,40.82064,-73.931104,1,['EV Solar Arc Charger'],No,No,POINT (-73.931104 40.82064)
"DPR - 760 Oriental Blvd, Brooklyn",DPR,760 Oriental Blvd,Brooklyn,11235,40.577846,-73.944047,2,['Level 2 Charger'],No,No,POINT (-73.944047 40.577846)
"DPR - 54-8 43rd St, Queens",DPR,54-8 43rd St,Queens,11378,40.731943,-73.924672,2,['Level 2 Charger'],No,No,POINT (-73.924672 40.731943)
"DPR - 1 Forest Park Dr, Queens",DPR,1 Forest Park Dr,Queens,11421,40.696323,-73.866356,2,['Level 3 Fast Charger'],No,No,POINT (-73.866356 40.696323)
"DPR - 12 Olmsted Dr, Queens",DPR,12 Olmsted Dr,Queens,11368,40.752161,-73.849609,16,"['EV Solar Arc Charger', 'Level 2 Charger']",No,No,POINT (-73.849609 40.752161)
"DPR - 80-30 Park Ln, Queens",DPR,80-30 Park Ln,Queens,11415,40.710954,-73.835147,6,"['EV Solar Arc Charger', 'Level 2 Charger']",No,No,POINT (-73.835147 40.710954)
"DPR - 1001 Queens Plaza S, Queens",DPR,1001 Queens Plaza S,Queens,11101,40.753562,-73.947466,8,['Level 2 Charger'],No,No,POINT (-73.947466 40.753562)
"DPR - 1954-1962 Birchall Ave, Bronx",DPR,1954-1962 Birchall Ave,Bronx,10462,40.848615,-73.868576,4,['Level 2 Charger'],No,No,POINT (-73.868576 40.848615)
"DPR - 1 Bronx River Pkwy, Bronx",DPR,1 Bronx River Pkwy,Bronx,10462,40.847311,-73.870827,14,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.870827 40.847311)
"DPR - 126 Hell Gate Circle, Manhattan",DPR,126 Hell Gate Circle,Manhattan,10035,40.786761,-73.928799,2,['Level 2 Charger'],No,No,POINT (-73.928799 40.786761)
"DPR - 111 Sunken Garden Loop, Manhattan",DPR,111 Sunken Garden Loop,Manhattan,10035,40.786373,-73.931656,5,['Level 2 Charger'],No,No,POINT (-73.931656 40.786373)
"DPR - 177-01 Baisley Blvd, Queens",DPR,177-01 Baisley Blvd,Queens,11434,40.686284,-73.768455,4,['Level 2 Charger'],No,No,POINT (-73.768455 40.686284)
"DPR - 150-03 Jamaica Ave, Queens",DPR,150-03 Jamaica Ave,Queens,11432,40.702376,-73.803607,1,['Level 2 Charger'],No,No,POINT (-73.803607 40.702376)
"DPR - 500 W 129th St, Manhattan",DPR,500 W 129th St,Manhattan,10027,40.815204,-73.955246,2,['Level 2 Charger'],No,No,POINT (-73.955246 40.815204)
"DSNY - 650 W 57th St, Manhattan",DSNY,650 W 57th St,Manhattan,10019,40.771149,-73.993415,13,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.993415 40.771149)
