,id,name,power,operator,substation,voltage,frequency,geometry,substation_id,location_id,coordinate_system_id,position_point_id
144,383585997,Woodhaven Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.84395699999999 40.689826249999996),urn:agentwin:energy:substation:osm:383585997,urn:agentwin:energy:location:osm:383585997,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383585997
145,383590979,,substation,Consolidated Edison,distribution,33000;4000,60,POINT (-74.1523631 40.6258112),urn:agentwin:energy:substation:osm:383590979,urn:agentwin:energy:location:osm:383590979,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383590979
146,383590980,,substation,Consolidated Edison,distribution,33000;4000,60,POINT (-74.10930368628507 40.64485275),urn:agentwin:energy:substation:osm:383590980,urn:agentwin:energy:location:osm:383590980,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383590980
147,383590981,Clove Lakes Substation,substation,Consolidated Edison,distribution,33000;4000,60,POINT (-74.11751960000001 40.61369985),urn:agentwin:energy:substation:osm:383590981,urn:agentwin:energy:location:osm:383590981,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383590981
148,383590982,Dongan Hills Substation,substation,Consolidated Edison,distribution,33000;4000,60,POINT (-74.0852500154794 40.58883575),urn:agentwin:energy:substation:osm:383590982,urn:agentwin:energy:location:osm:383590982,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383590982
149,383590983,Howland Hook Substation,substation,Consolidated Edison,minor_distribution,33000;4000,60,POINT (-74.18220744999999 40.6412553),urn:agentwin:energy:substation:osm:383590983,urn:agentwin:energy:location:osm:383590983,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383590983
150,383590985,Naughton Substation,substation,Consolidated Edison,distribution,33000;4000,60,POINT (-74.09448989158419 40.58480885),urn:agentwin:energy:substation:osm:383590985,urn:agentwin:energy:location:osm:383590985,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383590985
151,383590986,Odin Substation,substation,Consolidated Edison,distribution,33000;4000,60,POINT (-74.12058164999999 40.57583015),urn:agentwin:energy:substation:osm:383590986,urn:agentwin:energy:location:osm:383590986,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383590986
152,383590987,Port Richmond Substation,substation,Consolidated Edison,distribution,33000;4000,60,POINT (-74.13038879721819 40.63895905),urn:agentwin:energy:substation:osm:383590987,urn:agentwin:energy:location:osm:383590987,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383590987
153,383590988,Seaside Substation,substation,Consolidated Edison,distribution,33000;4000,60,POINT (-74.08242270073089 40.58201855),urn:agentwin:energy:substation:osm:383590988,urn:agentwin:energy:location:osm:383590988,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383590988
154,383590989,Silver Lake Substation,substation,Consolidated Edison,distribution,33000;4000,60,POINT (-74.08647461181013 40.6321388),urn:agentwin:energy:substation:osm:383590989,urn:agentwin:energy:location:osm:383590989,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383590989
155,383590990,Wadsworth Substation,substation,Consolidated Edison,distribution,33000;4000,60,POINT (-74.06649528320051 40.6055207),urn:agentwin:energy:substation:osm:383590990,urn:agentwin:energy:location:osm:383590990,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383590990
156,383590991,Westerleigh Substation,substation,Consolidated Edison,distribution,33000;4000,60,POINT (-74.1312517 40.627945),urn:agentwin:energy:substation:osm:383590991,urn:agentwin:energy:location:osm:383590991,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383590991
160,447778008,New Brighton Substation,substation,Consolidated Edison,distribution,,,POINT (-74.09313997708071 40.64511525),urn:agentwin:energy:substation:osm:447778008,urn:agentwin:energy:location:osm:447778008,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:447778008
164,684470438,Sherman Creek Substation,substation,Consolidated Edison,yes,,,POINT (-73.92036327849075 40.8605917),urn:agentwin:energy:substation:osm:684470438,urn:agentwin:energy:location:osm:684470438,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:684470438
191,1338654396,11th Street Conduit,substation,Consolidated Edison,,,,POINT (-73.9524061514696 40.73839194999999),urn:agentwin:energy:substation:osm:1338654396,urn:agentwin:energy:location:osm:1338654396,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:1338654396
192,1338654415,11th Street Conduit,substation,Consolidated Edison,yes,,,POINT (-73.95075449308328 40.744061650000006),urn:agentwin:energy:substation:osm:1338654415,urn:agentwin:energy:location:osm:1338654415,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:1338654415
195,1434668163,Woodrow Substation,substation,Consolidated Edison,distribution,138000;13200,60,POINT (-74.21524609093305 40.55480105),urn:agentwin:energy:substation:osm:1434668163,urn:agentwin:energy:location:osm:1434668163,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:1434668163
